HUM___100	1	1	42781	2280	2330
HUM___101	3	2	37333	2100	2175	37333	4980	5055
HUM___101	3	2	37334	2280	2355	37334	5160	5235
HUM___101	3	2	42713	2100	2175	42713	4980	5055
HUM___111	3	2	45064	1080	1200	45064	3960	4080
HUM___111	3	2	45065	1080	1200	45065	3960	4080
HUM___111	3	2	45066	2520	2640	45066	5400	5520
HUM___120	2	2	45430	2010	2085	45430	4890	4965
HUM___120	2	2	45432	570	645	45432	3450	3525
HUM___201	2	1	43469	2370	2520
HUM___201	2	2	43471	2100	2175	43471	4980	5055
