CSC___225	2	13597	2400	2475	13597	5280	5355
CSC___275	2	13693	2520	2595	13693	5400	5475
CSC___376	1	10446	720	820
CSC___385	2	10448	2520	2620	10448	5400	5500
CSC___388	1	10451	3840	3940
CSC___389	1	10455	840	940
CSC___452	1	14315	2400	2500
CSC___470	1	11881	600	700
CSC___472	1	10463	3480	3580
CSC___472	1	14188	2160	2260
CSC___501	1	14809	5040	5140
CSC___501	1	14950	2040	2140
CSC___532	1	15067	5280	5380
CSC___533	1	15645	3840	3940
CSC___534	1	15231	3720	3820
CSC___535	1	15320	2280	2380
CSC___540	1	12651	2160	2260
CSC___540	1	14306	2040	2140
CSC___562	1	14772	4920	5020
CSC___564	1	14331	3600	3700
CSC___570	1	12771	720	820
CSC___570	1	12838	840	940
CSC___572	1	10484	960	1060
CSC___572	1	14321	6480	6580
