MBT___501	2	1	28857	2490	2600
MBT___501	2	1	39258	6480	6530
MBT___504	1	1	31988	1050	1160
MBT___505	1	1	32202	2490	2610
MBT___506	1	1	32208	840	950
MBT___510	1	2	29101	3420	3470	29101	6300	6350
MBT___511	2	1	31994	5280	5390
MBT___511	2	1	40225	960	1070
MBT___513	1	1	28859	6660	6710
MBT___520	1	1	30689	2340	2450
MBT___521	2	1	28860	960	1010
MBT___521	2	1	36493	480	530
MBT___523	2	1	43477	660	770
MBT___523	2	1	46132	600	710
MBT___525	1	1	32209	6780	6830
MBT___526	1	1	33482	5340	5390
MBT___527	1	1	32210	5400	5450
MBT___528	4	1	31991	3930	3980
MBT___528	4	1	31992	3990	4100
MBT___528	4	1	37993	3900	4010
MBT___528	4	1	37994	3840	3890
MBT___529	1	1	36491	6540	6710
MBT___530	2	1	34768	780	890
MBT___530	2	1	36803	540	590
MBT___535	1	1	39378	2220	2270
MBT___537	1	1	43512	750	800
MBT___538	1	1	44591	2280	2330
MBT___541	1	1	47832	6540	6590
MBT___591	2	1	29102	3510	3560
MBT___591	2	1	44760	3420	3470
MBT___594	1	1	26964	840	960
MBT___595	1	1	31995	6720	6770
