SPED_201	2	2	43975	720	795	43975	3600	3675
SPED_201	2	2	48974	570	645	48974	3450	3525
SPED_202	1	2	49608	2190	2265	49608	5070	5145
SPED_410	1	1	38783	2460	2640
SPED_416	1	1	30466	1020	1200
SPED_432	1	1	48777	1020	1200
SPED_433	1	1	48778	2460	2640
SPED_448	3	1	36723	2460	2640
SPED_448	3	1	38010	2460	2520
SPED_448	3	1	42555	900	1010
SPED_461	2	1	11359	1020	1200
SPED_461	2	1	44099	5340	5520
SPED_462	1	1	11360	5340	5520
SPED_463	1	1	11362	1020	1200
SPED_465	1	1	39770	2460	2640
SPED_466	1	1	11365	2460	2640
SPED_471	2	1	11366	1020	1200
SPED_471	2	1	48261	3900	4080
SPED_472	2	1	11367	5340	5520
SPED_472	2	1	15125	3900	4080
SPED_473	1	1	41573	3900	4080
SPED_482	1	1	37578	1020	1200
SPED_506	1	1	11375	2460	2640
SPED_508	1	1	11378	3900	4080
SPED_509	1	1	46527	1020	1200
SPED_510	1	1	34733	1020	1200
SPED_511	1	1	48779	3900	4080
SPED_512	1	1	34238	3900	4080
SPED_514	1	1	46593	1020	1200
SPED_516	1	1	34240	5340	5520
SPED_518	1	1	48263	2460	2640
SPED_523	1	1	48264	3900	4080
SPED_563	1	1	40175	3900	4080
SPED_572	2	1	20003	5340	5520
SPED_572	2	1	40493	5190	5330
SPED_573	1	1	23359	5340	5520
SPED_576	2	1	39231	2460	2640
SPED_576	2	1	42260	3900	4080
