HDC__501	1	1	10168	2340	2490
HDC__513	2	1	10189	900	1050
HDC__513	2	1	13996	1080	1230
HDC__515	2	1	12721	3780	3930
HDC__515	2	1	12965	3780	3930
HDC__525	1	1	12549	2340	2490
HDC__534	1	1	11094	2520	2670
HDC__535	1	1	14021	2520	2670
HDC__542	1	1	14720	2520	2670
HDC__555	1	1	14819	900	1050
HDC__577	1	1	10185	5280	5370
HDC__590	6	1	10176	5400	5550
HDC__590	6	1	11747	2340	2490
HDC__590	6	1	12966	5400	5550
HDC__590	6	1	10433	3960	4110
HDC__590	6	1	10435	2340	2490
HDC__590	6	1	14020	2520	2670
HDC__511	1	1	11881	3960	4110
HDC__531	1	1	12872	1080	1170
HDC__537	1	1	10394	2340	2490
HDC__543	1	1	15594	5220	5370
HDC__544	1	1	13980	900	1050
HDC__546	1	1	13831	2340	2490
HDC__575	1	1	10397	2520	2670
HDC__587	4	1	10427	3780	3930
HDC__587	4	1	12066	3780	3930
HDC__587	4	1	14355	5220	5370
HDC__587	4	1	13843	3780	3930
