CSC__225	2	2	13597	2400	2475	13597	5280	5355
CSC__225	2	2	13536	2400	2475	13536	5280	5355
CSC__275	2	2	13693	2520	2595	13693	5400	5475
CSC__275	2	2	13540	2520	2595	13540	5400	5475
CSC__376	2	1	10446	720	820
CSC__376	2	1	10395	720	820
CSC__385	2	2	10448	2520	2620	10448	5400	5500
CSC__385	2	2	10401	2520	2620	10401	5400	5500
CSC__388	2	1	10451	3840	3940
CSC__388	2	1	10398	3840	3940
CSC__389	2	1	10455	840	940
CSC__389	2	1	10399	840	940
CSC__452	1	1	14315	2400	2500
CSC__470	2	1	11881	600	700
CSC__470	2	1	15021	600	700
CSC__472	3	1	10463	3480	3580
CSC__472	3	1	14188	2160	2260
CSC__472	3	1	10415	3480	3580
CSC__501	3	1	14809	5040	5140
CSC__501	3	1	14950	2040	2140
CSC__501	3	1	14734	5040	5140
CSC__532	3	1	15067	5280	5380
CSC__532	3	1	15012	5280	5380
CSC__532	3	1	15047	6600	6700
CSC__533	2	1	15645	3840	3940
CSC__533	2	1	15610	2400	2500
CSC__534	2	1	15231	3720	3820
CSC__534	2	1	15496	3840	3940
CSC__535	2	1	15320	2280	2380
CSC__535	2	1	15532	2280	2380
CSC__540	4	1	12651	2160	2260
CSC__540	4	1	14306	2040	2140
CSC__540	4	1	12462	2160	2260
CSC__540	4	1	12819	2040	2140
CSC__562	2	1	14772	4920	5020
CSC__562	2	1	14737	4920	5020
CSC__564	2	1	14331	3600	3700
CSC__564	2	1	12662	3600	3700
CSC__570	4	1	12771	720	820
CSC__570	4	1	12838	840	940
CSC__570	4	1	12075	720	820
CSC__570	4	1	14231	840	940
CSC__572	3	1	10484	960	1060
CSC__572	3	1	14321	6480	6580
CSC__572	3	1	10425	960	1060
CSC__302	1	1	14155	2400	2500
CSC__478	1	1	10417	3960	4060
CSC__482	1	1	15009	2280	2380
CSC__561	1	1	14735	5160	5260
