HPA__403	1	1	25904	5370	5535
HPA__410	2	1	24429	1050	1215
HPA__410	2	1	32779	5400	5580
HPA__415	1	1	42871	1980	2145
HPA__417	1	1	44933	2490	2655
HPA__419	3	1	44141	2490	2655
HPA__419	3	1	45562	1050	1215
HPA__419	3	1	46541	5370	5535
HPA__420	1	1	42293	3660	3825
HPA__425	1	1	40042	3930	4095
HPA__430	1	1	46542	3930	4095
HPA__431	1	1	28464	2220	2385
HPA__432	1	1	48386	4860	5025
HPA__434	1	1	41385	2490	2655
HPA__440	1	1	46805	3930	4095
HPA__451	1	1	38548	5370	5535
HPA__460	1	1	41055	1980	2145
HPA__463	1	1	24404	1050	1215
HPA__470	2	1	30478	5430	5535
HPA__470	2	1	40043	2490	2655
HPA__490	2	1	30480	3810	3900
HPA__490	2	1	46474	3600	3660
HPA__491	1	1	48156	2160	2220
HPA__494	7	1	28465	840	1020
HPA__494	7	1	36524	3900	4080
HPA__494	7	1	36525	840	1020
HPA__494	7	1	38925	4860	5025
HPA__494	7	1	48297	5100	5265
HPA__494	7	1	48869	2460	2625
HPA__494	7	1	49267	2490	2685
HPA__505	1	1	42520	5370	5535
HPA__509	1	1	42521	3930	4095
HPA__521	1	1	46806	6300	6465
HPA__522	1	1	28468	720	900
HPA__525	1	1	45397	1050	1215
HPA__551	1	1	27502	2490	2655
HPA__552	1	1	43964	5370	5535
HPA__567	1	1	45398	2220	2385
HPA__591	1	1	46889	5100	5265
HPA__594	1	1	32789	5370	5535
